Survived,Pclass,Age,SibSp,Parch,Fare,FamilySize,Sex_female,Sex_male,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_T,Cabin_U,Embarked_C,Embarked_Q,Embarked_S
0,0.8269128165243691,-0.5921480257661295,0.43255042804180416,-0.4734077245683853,-0.5021631365156045,0.05912666875942209,-0.737281045229683,0.7372810452296829,-0.13078252794423806,-0.23584890104453388,-0.2661463374108423,-0.19600605029362067,-0.19290103531750133,-0.1216131589252473,-0.06711573290486086,-0.033501260508640406,0.5446190979216791,-0.4817720973857151,-0.3073897002532147,0.615492739830321
1,-1.5652278312782701,0.6384304439468894,0.43255042804180416,-0.4734077245683853,0.7864036178345388,0.05912666875942209,1.3548126213297043,-1.3548126213297043,-0.13078252794423806,-0.23584890104453388,3.7531144529800136,-0.19600605029362067,-0.19290103531750133,-0.1216131589252473,-0.06711573290486086,-0.033501260508640406,-1.8340849032950666,2.073340633392095,-0.3073897002532147,-1.6228910609403568
1,0.8269128165243691,-0.28450340833787474,-0.4742788222764252,-0.4734077245683853,-0.4885798515812602,-0.5606599414128729,1.3548126213297043,-1.3548126213297043,-0.13078252794423806,-0.23584890104453388,-0.2661463374108423,-0.19600605029362067,-0.19290103531750133,-0.1216131589252473,-0.06711573290486086,-0.033501260508640406,0.5446190979216791,-0.4817720973857151,-0.3073897002532147,0.615492739830321
1,-1.5652278312782701,0.4076969808756984,0.43255042804180416,-0.4734077245683853,0.4204940697654099,0.05912666875942209,1.3548126213297043,-1.3548126213297043,-0.13078252794423806,-0.23584890104453388,3.7531144529800136,-0.19600605029362067,-0.19290103531750133,-0.1216131589252473,-0.06711573290486086,-0.033501260508640406,-1.8340849032950666,-0.4817720973857151,-0.3073897002532147,0.615492739830321
0,0.8269128165243691,0.4076969808756984,-0.4742788222764252,-0.4734077245683853,-0.48606442844527054,-0.5606599414128729,-0.737281045229683,0.7372810452296829,-0.13078252794423806,-0.23584890104453388,-0.2661463374108423,-0.19600605029362067,-0.19290103531750133,-0.1216131589252473,-0.06711573290486086,-0.033501260508640406,0.5446190979216791,-0.4817720973857151,-0.3073897002532147,0.615492739830321
0,0.8269128165243691,4.37189296218683e-15,-0.4742788222764252,-0.4734077245683853,-0.47784805031387384,-0.5606599414128729,-0.737281045229683,0.7372810452296829,-0.13078252794423806,-0.23584890104453388,-0.2661463374108423,-0.19600605029362067,-0.19290103531750133,-0.1216131589252473,-0.06711573290486086,-0.033501260508640406,0.5446190979216791,-0.4817720973857151,3.249548259819699,-1.6228910609403568
0,-1.5652278312782701,1.8690089136599082,-0.4742788222764252,-0.4734077245683853,0.39559138071911193,-0.5606599414128729,-0.737281045229683,0.7372810452296829,-0.13078252794423806,-0.23584890104453388,-0.2661463374108423,-0.19600605029362067,5.178187166804175,-0.1216131589252473,-0.06711573290486086,-0.033501260508640406,-1.8340849032950666,-0.4817720973857151,-0.3073897002532147,0.615492739830321
0,0.8269128165243691,-2.130371112907403,2.246208928678263,0.7671989889328833,-0.223957337675146,1.918486499276307,-0.737281045229683,0.7372810452296829,-0.13078252794423806,-0.23584890104453388,-0.2661463374108423,-0.19600605029362067,-0.19290103531750133,-0.1216131589252473,-0.06711573290486086,-0.033501260508640406,0.5446190979216791,-0.4817720973857151,-0.3073897002532147,0.615492739830321
1,0.8269128165243691,-0.20759225398081105,-0.4742788222764252,2.007805702434152,-0.42401799520369476,0.678913278931717,1.3548126213297043,-1.3548126213297043,-0.13078252794423806,-0.23584890104453388,-0.2661463374108423,-0.19600605029362067,-0.19290103531750133,-0.1216131589252473,-0.06711573290486086,-0.033501260508640406,0.5446190979216791,-0.4817720973857151,-0.3073897002532147,0.615492739830321
1,-0.3691575073769505,-1.207437260622639,0.43255042804180416,-0.4734077245683853,-0.04293139010125837,0.05912666875942209,1.3548126213297043,-1.3548126213297043,-0.13078252794423806,-0.23584890104453388,-0.2661463374108423,-0.19600605029362067,-0.19290103531750133,-0.1216131589252473,-0.06711573290486086,-0.033501260508640406,0.5446190979216791,2.073340633392095,-0.3073897002532147,-1.6228910609403568
